PubDate,PubTime,Currency,Event,Actual,Forecast,Previous,CurrEvent,PrevDate,NextDate,PrevH,NextH,PrevD[BTC-USD][O],PrevD[BTC-USD][H],PrevD[BTC-USD][L],PrevD[BTC-USD][C],NextD[BTC-USD][O],NextD[BTC-USD][H],NextD[BTC-USD][L],NextD[BTC-USD][C],CurrD[BTC-USD][O],CurrD[BTC-USD][H],CurrD[BTC-USD][L],CurrD[BTC-USD][C],PrevH[BTC-USD][O],PrevH[BTC-USD][H],PrevH[BTC-USD][L],PrevH[BTC-USD][C],NextH[BTC-USD][O],NextH[BTC-USD][H],NextH[BTC-USD][L],NextH[BTC-USD][C],CurrH[BTC-USD][O],CurrH[BTC-USD][H],CurrH[BTC-USD][L],CurrH[BTC-USD][C]
2024-04-05,12:30,USD,Unemployment Rate ,0.038,0.039,0.039,USD-Unemployment Rate ,2024-04-04,2024-04-06,12:00,13:00,65975.6953125,69291.2578125,65113.796875,68508.84375,67840.5703125,69629.6015625,67491.71875,68896.109375,68515.7578125,68725.7578125,66011.4765625,67837.640625,66474.9765625,66891.375,66069.265625,66891.375,66905.1171875,67562.578125,66603.7265625,67558.5234375,,,,
2024-04-10,12:30,USD,Core CPI (MoM) ,0.004,0.003,0.004,USD-Core CPI (MoM) ,2024-04-09,2024-04-11,12:00,13:00,71632.5,71742.5078125,68212.921875,69139.015625,70575.734375,71256.234375,69571.8125,70060.609375,69140.2421875,71093.4296875,67503.5625,70587.8828125,69041.359375,69143.796875,67603.671875,67954.1796875,67953.5703125,68169.484375,67574.65625,68161.9921875,,,,
2024-04-10,12:30,USD,CPI (YoY) ,0.035,0.034,0.032,USD-CPI (YoY) ,2024-04-09,2024-04-11,12:00,13:00,71632.5,71742.5078125,68212.921875,69139.015625,70575.734375,71256.234375,69571.8125,70060.609375,69140.2421875,71093.4296875,67503.5625,70587.8828125,69041.359375,69143.796875,67603.671875,67954.1796875,67953.5703125,68169.484375,67574.65625,68161.9921875,,,,
2024-04-10,12:30,USD,CPI (MoM) ,0.004,0.003,0.004,USD-CPI (MoM) ,2024-04-09,2024-04-11,12:00,13:00,71632.5,71742.5078125,68212.921875,69139.015625,70575.734375,71256.234375,69571.8125,70060.609375,69140.2421875,71093.4296875,67503.5625,70587.8828125,69041.359375,69143.796875,67603.671875,67954.1796875,67953.5703125,68169.484375,67574.65625,68161.9921875,,,,
2024-04-10,14:30,USD,Crude Oil Inventories,5841000.0,900000.0,3210000.0,USD-Crude Oil Inventories,2024-04-09,2024-04-11,14:00,15:00,71632.5,71742.5078125,68212.921875,69139.015625,70575.734375,71256.234375,69571.8125,70060.609375,69140.2421875,71093.4296875,67503.5625,70587.8828125,68219.203125,68948.40625,68019.2421875,68665.2890625,68702.390625,68752.5625,68340.8828125,68634.34375,,,,
2024-04-10,17:00,USD,10-Year Note Auction,0.046,,0.042,USD-10-Year Note Auction,2024-04-09,2024-04-11,16:00,18:00,71632.5,71742.5078125,68212.921875,69139.015625,70575.734375,71256.234375,69571.8125,70060.609375,69140.2421875,71093.4296875,67503.5625,70587.8828125,68651.3125,69534.7265625,68607.453125,69534.7265625,69338.6484375,69387.21875,69085.1875,69269.3125,69534.1328125,69887.015625,69208.390625,69352.09375
2024-04-10,18:00,USD,FOMC Meeting Minutes,,,,USD-FOMC Meeting Minutes,2024-04-09,2024-04-11,17:00,19:00,71632.5,71742.5078125,68212.921875,69139.015625,70575.734375,71256.234375,69571.8125,70060.609375,69140.2421875,71093.4296875,67503.5625,70587.8828125,69534.1328125,69887.015625,69208.390625,69352.09375,69311.515625,69967.5546875,69250.5,69967.5546875,69338.6484375,69387.21875,69085.1875,69269.3125
2024-04-11,12:15,EUR,Deposit Facility Rate ,0.04,0.04,0.04,EUR-Deposit Facility Rate ,2024-04-10,2024-04-12,12:00,13:00,69140.2421875,71093.4296875,67503.5625,70587.8828125,70061.3828125,71222.7421875,65254.8359375,67195.8671875,70575.734375,71256.234375,69571.8125,70060.609375,69991.09375,71029.0625,69984.453125,70905.6640625,70867.5,70946.1875,69730.84375,70333.5625,,,,
2024-04-11,12:15,EUR,ECB Interest Rate Decision ,0.045,0.045,0.045,EUR-ECB Interest Rate Decision ,2024-04-10,2024-04-12,12:00,13:00,69140.2421875,71093.4296875,67503.5625,70587.8828125,70061.3828125,71222.7421875,65254.8359375,67195.8671875,70575.734375,71256.234375,69571.8125,70060.609375,69991.09375,71029.0625,69984.453125,70905.6640625,70867.5,70946.1875,69730.84375,70333.5625,,,,
2024-04-11,12:30,USD,Initial Jobless Claims,211000.0,216000.0,222000.0,USD-Initial Jobless Claims,2024-04-10,2024-04-12,12:00,13:00,69140.2421875,71093.4296875,67503.5625,70587.8828125,70061.3828125,71222.7421875,65254.8359375,67195.8671875,70575.734375,71256.234375,69571.8125,70060.609375,69991.09375,71029.0625,69984.453125,70905.6640625,70867.5,70946.1875,69730.84375,70333.5625,,,,
2024-04-11,12:30,USD,PPI (MoM) ,0.002,0.003,0.006,USD-PPI (MoM) ,2024-04-10,2024-04-12,12:00,13:00,69140.2421875,71093.4296875,67503.5625,70587.8828125,70061.3828125,71222.7421875,65254.8359375,67195.8671875,70575.734375,71256.234375,69571.8125,70060.609375,69991.09375,71029.0625,69984.453125,70905.6640625,70867.5,70946.1875,69730.84375,70333.5625,,,,
2024-04-11,12:45,EUR,ECB Press Conference,,,,EUR-ECB Press Conference,2024-04-10,2024-04-12,12:00,13:00,69140.2421875,71093.4296875,67503.5625,70587.8828125,70061.3828125,71222.7421875,65254.8359375,67195.8671875,70575.734375,71256.234375,69571.8125,70060.609375,69991.09375,71029.0625,69984.453125,70905.6640625,70867.5,70946.1875,69730.84375,70333.5625,,,,
2024-04-11,17:00,USD,30-Year Bond Auction,0.047,,0.043,USD-30-Year Bond Auction,2024-04-10,2024-04-12,16:00,18:00,69140.2421875,71093.4296875,67503.5625,70587.8828125,70061.3828125,71222.7421875,65254.8359375,67195.8671875,70575.734375,71256.234375,69571.8125,70060.609375,69991.53125,70110.1484375,69590.7421875,70049.96875,70203.0078125,70354.421875,69978.3359375,70097.640625,70010.984375,70404.3125,70010.984375,70196.1015625
2024-04-12,6:00,EUR,German CPI (MoM) ,0.004,0.004,0.004,EUR-German CPI (MoM) ,2024-04-11,2024-04-13,05:00,07:00,70575.734375,71256.234375,69571.8125,70060.609375,67188.375,67931.4296875,60919.10546875,63821.47265625,70061.3828125,71222.7421875,65254.8359375,67195.8671875,71138.703125,71166.7109375,70927.015625,70973.1796875,70887.2109375,70967.1484375,70608.84375,70736.390625,,,,
