PubDate,PubTime,Currency,Event,Actual,Forecast,Previous,CurrEvent,PrevDate,NextDate,PrevH,NextH,PrevD[BTC-USD][O],PrevD[BTC-USD][H],PrevD[BTC-USD][L],PrevD[BTC-USD][C],NextD[BTC-USD][O],NextD[BTC-USD][H],NextD[BTC-USD][L],NextD[BTC-USD][C],CurrD[BTC-USD][O],CurrD[BTC-USD][H],CurrD[BTC-USD][L],CurrD[BTC-USD][C],PrevH[BTC-USD][O],PrevH[BTC-USD][H],PrevH[BTC-USD][L],PrevH[BTC-USD][C],NextH[BTC-USD][O],NextH[BTC-USD][H],NextH[BTC-USD][L],NextH[BTC-USD][C],CurrH[BTC-USD][O],CurrH[BTC-USD][H],CurrH[BTC-USD][L],CurrH[BTC-USD][C]
2023-02-22,19:00,USD,FOMC Meeting Minutes,,,,USD-FOMC Meeting Minutes,2023-02-21,2023-02-23,18:00,20:00,24833.048828125,25126.8515625,24200.36328125,24436.353515625,24190.71875,24572.08984375,23693.919921875,23947.4921875,24437.41796875,24472.33984375,23644.318359375,24188.84375,23760.3515625,23841.982421875,23760.3515625,23771.912109375,23810.15625,23855.5078125,23781.5,23804.107421875,23774.58203125,23909.31640625,23737.01171875,23815.115234375
2023-02-23,10:00,EUR,CPI (YoY) ,0.086,0.086,0.092,EUR-CPI (YoY) ,2023-02-22,2023-02-24,09:00,11:00,24437.41796875,24472.33984375,23644.318359375,24188.84375,23946.0078125,24103.705078125,23007.072265625,23198.126953125,24190.71875,24572.08984375,23693.919921875,23947.4921875,24427.61328125,24458.376953125,24344.060546875,24344.060546875,24278.634765625,24278.634765625,23733.71484375,23772.6015625,24328.595703125,24328.595703125,24261.4765625,24279.1328125
2023-02-23,13:30,USD,GDP (QoQ) ,0.027,0.029,0.032,USD-GDP (QoQ) ,2023-02-22,2023-02-24,13:00,14:00,24437.41796875,24472.33984375,23644.318359375,24188.84375,23946.0078125,24103.705078125,23007.072265625,23198.126953125,24190.71875,24572.08984375,23693.919921875,23947.4921875,23944.234375,24175.517578125,23927.173828125,24016.998046875,24019.6953125,24139.087890625,23971.3125,24040.58984375,,,,
2023-02-23,13:30,USD,Initial Jobless Claims,192000.0,200000.0,195000.0,USD-Initial Jobless Claims,2023-02-22,2023-02-24,13:00,14:00,24437.41796875,24472.33984375,23644.318359375,24188.84375,23946.0078125,24103.705078125,23007.072265625,23198.126953125,24190.71875,24572.08984375,23693.919921875,23947.4921875,23944.234375,24175.517578125,23927.173828125,24016.998046875,24019.6953125,24139.087890625,23971.3125,24040.58984375,,,,
2023-02-23,16:00,USD,Crude Oil Inventories,7648000.0,2083000.0,16283000.0,USD-Crude Oil Inventories,2023-02-22,2023-02-24,15:00,17:00,24437.41796875,24472.33984375,23644.318359375,24188.84375,23946.0078125,24103.705078125,23007.072265625,23198.126953125,24190.71875,24572.08984375,23693.919921875,23947.4921875,24039.890625,24039.890625,23926.953125,23956.86328125,23832.068359375,23964.0,23809.021484375,23861.37890625,23958.765625,23985.208984375,23836.671875,23836.671875
2023-02-24,7:00,EUR,German GDP (QoQ) ,-0.004,-0.002,-0.002,EUR-German GDP (QoQ) ,2023-02-23,2023-02-25,06:00,08:00,24190.71875,24572.08984375,23693.919921875,23947.4921875,23200.125,23210.2109375,22861.55859375,23175.375,23946.0078125,24103.705078125,23007.072265625,23198.126953125,23914.9921875,23914.9921875,23843.05078125,23908.259765625,23855.212890625,23942.4609375,23798.99609375,23904.73046875,,,,
2023-02-24,13:30,USD,Core PCE Price Index (YoY) ,0.047,0.043,0.046,USD-Core PCE Price Index (YoY) ,2023-02-23,2023-02-25,13:00,14:00,24190.71875,24572.08984375,23693.919921875,23947.4921875,23200.125,23210.2109375,22861.55859375,23175.375,23946.0078125,24103.705078125,23007.072265625,23198.126953125,23904.83984375,23935.19140625,23762.86328125,23796.064453125,23792.142578125,23850.330078125,23739.78125,23850.330078125,,,,
2023-02-24,13:30,USD,Core PCE Price Index (MoM) ,0.006,0.004,0.004,USD-Core PCE Price Index (MoM) ,2023-02-23,2023-02-25,13:00,14:00,24190.71875,24572.08984375,23693.919921875,23947.4921875,23200.125,23210.2109375,22861.55859375,23175.375,23946.0078125,24103.705078125,23007.072265625,23198.126953125,23904.83984375,23935.19140625,23762.86328125,23796.064453125,23792.142578125,23850.330078125,23739.78125,23850.330078125,,,,
2023-02-24,15:00,USD,New Home Sales ,670000.0,620000.0,625000.0,USD-New Home Sales ,2023-02-23,2023-02-25,14:00,16:00,24190.71875,24572.08984375,23693.919921875,23947.4921875,23200.125,23210.2109375,22861.55859375,23175.375,23946.0078125,24103.705078125,23007.072265625,23198.126953125,23792.142578125,23850.330078125,23739.78125,23850.330078125,23400.048828125,23400.048828125,23082.158203125,23217.298828125,23842.234375,23842.234375,23392.5859375,23392.5859375
2023-02-27,13:30,USD,Durable Goods Orders (MoM) ,-0.045,-0.04,0.051,USD-Durable Goods Orders (MoM) ,2023-02-26,2023-02-28,13:00,14:00,23174.150390625,23654.3671875,23084.220703125,23561.212890625,23521.837890625,23585.384765625,23077.650390625,23147.353515625,23561.451171875,23857.890625,23205.87890625,23522.87109375,23405.314453125,23757.732421875,23405.314453125,23724.298828125,23720.947265625,23795.810546875,23699.837890625,23784.361328125,,,,
2023-02-28,14:45,USD,Chicago PMI ,43.6,45.0,44.3,USD-Chicago PMI ,2023-02-27,2023-03-01,14:00,15:00,23561.451171875,23857.890625,23205.87890625,23522.87109375,23150.9296875,23880.6328125,23088.626953125,23646.55078125,23521.837890625,23585.384765625,23077.650390625,23147.353515625,23420.115234375,23547.943359375,23364.2734375,23461.810546875,23457.408203125,23532.796875,23440.208984375,23516.955078125,,,,
2023-02-28,15:00,USD,CB Consumer Confidence ,102.9,108.5,106.0,USD-CB Consumer Confidence ,2023-02-27,2023-03-01,14:00,16:00,23561.451171875,23857.890625,23205.87890625,23522.87109375,23150.9296875,23880.6328125,23088.626953125,23646.55078125,23521.837890625,23585.384765625,23077.650390625,23147.353515625,23420.115234375,23547.943359375,23364.2734375,23461.810546875,23519.75390625,23585.384765625,23457.017578125,23477.333984375,23457.408203125,23532.796875,23440.208984375,23516.955078125
2023-03-01,13:00,EUR,German CPI (MoM) ,0.008,0.006,0.01,EUR-German CPI (MoM) ,2023-02-28,2023-03-02,12:00,14:00,23521.837890625,23585.384765625,23077.650390625,23147.353515625,23647.01953125,23739.138671875,23245.021484375,23475.466796875,23150.9296875,23880.6328125,23088.626953125,23646.55078125,23741.798828125,23788.849609375,23735.455078125,23738.404296875,23700.82421875,23821.146484375,23653.19140625,23777.255859375,23738.494140625,23743.865234375,23664.177734375,23700.455078125
2023-03-01,14:45,USD,S&P Global US Manufacturing PMI ,47.3,47.8,46.9,USD-S&P Global US Manufacturing PMI ,2023-02-28,2023-03-02,14:00,15:00,23521.837890625,23585.384765625,23077.650390625,23147.353515625,23647.01953125,23739.138671875,23245.021484375,23475.466796875,23150.9296875,23880.6328125,23088.626953125,23646.55078125,23700.82421875,23821.146484375,23653.19140625,23777.255859375,23752.810546875,23754.755859375,23639.119140625,23721.572265625,,,,
2023-03-01,15:00,USD,ISM Manufacturing PMI ,47.7,48.0,47.4,USD-ISM Manufacturing PMI ,2023-02-28,2023-03-02,14:00,16:00,23521.837890625,23585.384765625,23077.650390625,23147.353515625,23647.01953125,23739.138671875,23245.021484375,23475.466796875,23150.9296875,23880.6328125,23088.626953125,23646.55078125,23700.82421875,23821.146484375,23653.19140625,23777.255859375,23727.3984375,23734.7890625,23618.806640625,23719.39453125,23752.810546875,23754.755859375,23639.119140625,23721.572265625
2023-03-01,15:00,USD,ISM Manufacturing Prices ,51.3,45.1,44.5,USD-ISM Manufacturing Prices ,2023-02-28,2023-03-02,14:00,16:00,23521.837890625,23585.384765625,23077.650390625,23147.353515625,23647.01953125,23739.138671875,23245.021484375,23475.466796875,23150.9296875,23880.6328125,23088.626953125,23646.55078125,23700.82421875,23821.146484375,23653.19140625,23777.255859375,23727.3984375,23734.7890625,23618.806640625,23719.39453125,23752.810546875,23754.755859375,23639.119140625,23721.572265625
2023-03-01,15:30,USD,Crude Oil Inventories,1165000.0,457000.0,7648000.0,USD-Crude Oil Inventories,2023-02-28,2023-03-02,15:00,16:00,23521.837890625,23585.384765625,23077.650390625,23147.353515625,23647.01953125,23739.138671875,23245.021484375,23475.466796875,23150.9296875,23880.6328125,23088.626953125,23646.55078125,23752.810546875,23754.755859375,23639.119140625,23721.572265625,23727.3984375,23734.7890625,23618.806640625,23719.39453125,,,,
2023-03-02,10:00,EUR,CPI (YoY) ,0.085,0.082,0.086,EUR-CPI (YoY) ,2023-03-01,2023-03-03,09:00,11:00,23150.9296875,23880.6328125,23088.626953125,23646.55078125,23476.6328125,23479.34765625,22213.23828125,22362.6796875,23647.01953125,23739.138671875,23245.021484375,23475.466796875,23450.6015625,23464.732421875,23427.814453125,23427.814453125,23394.025390625,23428.51171875,23382.134765625,23427.34765625,23424.9765625,23424.9765625,23379.400390625,23395.6953125
2023-03-02,13:30,USD,Initial Jobless Claims,190000.0,195000.0,192000.0,USD-Initial Jobless Claims,2023-03-01,2023-03-03,13:00,14:00,23150.9296875,23880.6328125,23088.626953125,23646.55078125,23476.6328125,23479.34765625,22213.23828125,22362.6796875,23647.01953125,23739.138671875,23245.021484375,23475.466796875,23357.3203125,23393.244140625,23312.16015625,23318.3828125,23319.234375,23344.9296875,23245.021484375,23314.35546875,,,,
2023-03-03,14:45,USD,S&P Global Services PMI ,50.6,50.5,46.8,USD-S&P Global Services PMI ,2023-03-02,2023-03-04,14:00,15:00,23647.01953125,23739.138671875,23245.021484375,23475.466796875,22362.923828125,22405.177734375,22198.98046875,22353.349609375,23476.6328125,23479.34765625,22213.23828125,22362.6796875,22407.56640625,22438.8359375,22397.693359375,22412.7109375,22411.1015625,22411.1015625,22321.287109375,22353.599609375,,,,
2023-03-03,15:00,USD,Fed Monetary Policy Report,,,,USD-Fed Monetary Policy Report,2023-03-02,2023-03-04,14:00,16:00,23647.01953125,23739.138671875,23245.021484375,23475.466796875,22362.923828125,22405.177734375,22198.98046875,22353.349609375,23476.6328125,23479.34765625,22213.23828125,22362.6796875,22407.56640625,22438.8359375,22397.693359375,22412.7109375,22350.685546875,22375.451171875,22349.27734375,22371.078125,22411.1015625,22411.1015625,22321.287109375,22353.599609375
2023-03-03,15:00,USD,ISM Non-Manufacturing PMI ,55.1,54.5,55.2,USD-ISM Non-Manufacturing PMI ,2023-03-02,2023-03-04,14:00,16:00,23647.01953125,23739.138671875,23245.021484375,23475.466796875,22362.923828125,22405.177734375,22198.98046875,22353.349609375,23476.6328125,23479.34765625,22213.23828125,22362.6796875,22407.56640625,22438.8359375,22397.693359375,22412.7109375,22350.685546875,22375.451171875,22349.27734375,22371.078125,22411.1015625,22411.1015625,22321.287109375,22353.599609375
2023-03-03,15:00,USD,ISM Non-Manufacturing Prices ,65.6,,67.8,USD-ISM Non-Manufacturing Prices ,2023-03-02,2023-03-04,14:00,16:00,23647.01953125,23739.138671875,23245.021484375,23475.466796875,22362.923828125,22405.177734375,22198.98046875,22353.349609375,23476.6328125,23479.34765625,22213.23828125,22362.6796875,22407.56640625,22438.8359375,22397.693359375,22412.7109375,22350.685546875,22375.451171875,22349.27734375,22371.078125,22411.1015625,22411.1015625,22321.287109375,22353.599609375
2023-03-07,15:00,USD,Fed Chair Powell Testifies,,,,USD-Fed Chair Powell Testifies,2023-03-06,2023-03-08,14:00,16:00,22436.81640625,22584.29296875,22331.314453125,22429.7578125,22216.44140625,22268.896484375,21708.05078125,21718.080078125,22428.322265625,22527.41796875,22011.26171875,22219.76953125,22367.099609375,22373.8125,22311.509765625,22330.927734375,22348.7421875,22375.427734375,22248.0625,22272.455078125,22327.607421875,22393.677734375,22069.68359375,22352.111328125
2023-03-08,13:15,USD,ADP Nonfarm Employment Change ,242000.0,200000.0,119000.0,USD-ADP Nonfarm Employment Change ,2023-03-07,2023-03-09,13:00,14:00,22428.322265625,22527.41796875,22011.26171875,22219.76953125,21720.080078125,21802.716796875,20210.306640625,20363.021484375,22216.44140625,22268.896484375,21708.05078125,21718.080078125,22016.716796875,22048.958984375,21977.458984375,21991.7578125,21992.1875,22026.203125,21961.3203125,21998.46484375,,,,
2023-03-08,15:00,USD,Fed Chair Powell Testifies,,,,USD-Fed Chair Powell Testifies,2023-03-07,2023-03-09,14:00,16:00,22428.322265625,22527.41796875,22011.26171875,22219.76953125,21720.080078125,21802.716796875,20210.306640625,20363.021484375,22216.44140625,22268.896484375,21708.05078125,21718.080078125,21992.1875,22026.203125,21961.3203125,21998.46484375,22158.6796875,22198.90234375,22078.8125,22152.9609375,21995.265625,22185.609375,21962.578125,22157.708984375
2023-03-08,15:00,USD,JOLTs Job Openings ,10824000.0,10500000.0,11234000.0,USD-JOLTs Job Openings ,2023-03-07,2023-03-09,14:00,16:00,22428.322265625,22527.41796875,22011.26171875,22219.76953125,21720.080078125,21802.716796875,20210.306640625,20363.021484375,22216.44140625,22268.896484375,21708.05078125,21718.080078125,21992.1875,22026.203125,21961.3203125,21998.46484375,22158.6796875,22198.90234375,22078.8125,22152.9609375,21995.265625,22185.609375,21962.578125,22157.708984375
2023-03-08,15:30,USD,Crude Oil Inventories,-1694000.0,395000.0,1165000.0,USD-Crude Oil Inventories,2023-03-07,2023-03-09,15:00,16:00,22428.322265625,22527.41796875,22011.26171875,22219.76953125,21720.080078125,21802.716796875,20210.306640625,20363.021484375,22216.44140625,22268.896484375,21708.05078125,21718.080078125,21995.265625,22185.609375,21962.578125,22157.708984375,22158.6796875,22198.90234375,22078.8125,22152.9609375,,,,
2023-03-08,18:00,USD,10-Year Note Auction,0.04,,0.036,USD-10-Year Note Auction,2023-03-07,2023-03-09,17:00,19:00,22428.322265625,22527.41796875,22011.26171875,22219.76953125,21720.080078125,21802.716796875,20210.306640625,20363.021484375,22216.44140625,22268.896484375,21708.05078125,21718.080078125,22150.3671875,22150.63671875,22060.76953125,22060.76953125,22037.23828125,22057.3046875,22013.009765625,22016.279296875,22059.0859375,22059.0859375,21975.4765625,22037.74609375
2023-03-09,13:30,USD,Initial Jobless Claims,211000.0,195000.0,190000.0,USD-Initial Jobless Claims,2023-03-08,2023-03-10,13:00,14:00,22216.44140625,22268.896484375,21708.05078125,21718.080078125,20367.001953125,20370.595703125,19628.25390625,20187.244140625,21720.080078125,21802.716796875,20210.306640625,20363.021484375,21624.00390625,21720.484375,21588.546875,21709.763671875,21710.484375,21796.12109375,21702.8203125,21718.7109375,,,,
2023-03-09,18:00,USD,30-Year Bond Auction,0.039,,0.037,USD-30-Year Bond Auction,2023-03-08,2023-03-10,17:00,19:00,22216.44140625,22268.896484375,21708.05078125,21718.080078125,20367.001953125,20370.595703125,19628.25390625,20187.244140625,21720.080078125,21802.716796875,20210.306640625,20363.021484375,21514.638671875,21519.421875,21466.275390625,21470.486328125,21061.56640625,21061.56640625,20842.669921875,20862.9921875,21475.921875,21490.765625,21044.05859375,21063.486328125
2023-03-10,7:00,EUR,German CPI (MoM) ,0.008,0.008,0.01,EUR-German CPI (MoM) ,2023-03-09,2023-03-11,06:00,08:00,21720.080078125,21802.716796875,20210.306640625,20363.021484375,20187.876953125,20792.525390625,20068.66015625,20632.41015625,20367.001953125,20370.595703125,19628.25390625,20187.244140625,20018.208984375,20028.556640625,19897.650390625,19900.078125,19976.404296875,19976.814453125,19893.34375,19956.234375,,,,
2023-03-10,13:30,USD,Average Hourly Earnings (MoM) ,0.002,0.003,0.003,USD-Average Hourly Earnings (MoM) ,2023-03-09,2023-03-11,13:00,14:00,21720.080078125,21802.716796875,20210.306640625,20363.021484375,20187.876953125,20792.525390625,20068.66015625,20632.41015625,20367.001953125,20370.595703125,19628.25390625,20187.244140625,19958.318359375,20276.16796875,19905.912109375,20200.095703125,20204.451171875,20204.451171875,19740.640625,19844.951171875,,,,
2023-03-10,13:30,USD,Nonfarm Payrolls ,311000.0,205000.0,504000.0,USD-Nonfarm Payrolls ,2023-03-09,2023-03-11,13:00,14:00,21720.080078125,21802.716796875,20210.306640625,20363.021484375,20187.876953125,20792.525390625,20068.66015625,20632.41015625,20367.001953125,20370.595703125,19628.25390625,20187.244140625,19958.318359375,20276.16796875,19905.912109375,20200.095703125,20204.451171875,20204.451171875,19740.640625,19844.951171875,,,,
2023-03-10,13:30,USD,Unemployment Rate ,0.036,0.034,0.034,USD-Unemployment Rate ,2023-03-09,2023-03-11,13:00,14:00,21720.080078125,21802.716796875,20210.306640625,20363.021484375,20187.876953125,20792.525390625,20068.66015625,20632.41015625,20367.001953125,20370.595703125,19628.25390625,20187.244140625,19958.318359375,20276.16796875,19905.912109375,20200.095703125,20204.451171875,20204.451171875,19740.640625,19844.951171875,,,,
2023-03-13,13:00,USD,U.S. President Biden Speaks,,,,USD-U.S. President Biden Speaks,2023-03-12,2023-03-14,12:00,14:00,20628.029296875,22185.03125,20448.806640625,22163.94921875,24201.765625,26514.716796875,24081.18359375,24746.07421875,22156.40625,24550.837890625,21918.19921875,24197.533203125,22165.076171875,22185.13671875,22020.009765625,22167.62890625,22577.896484375,23679.314453125,22504.60546875,23656.4609375,22167.404296875,22634.4375,22167.404296875,22570.740234375
2023-03-14,12:30,USD,Core CPI (MoM) ,0.005,0.004,0.004,USD-Core CPI (MoM) ,2023-03-13,2023-03-15,12:00,13:00,22156.40625,24550.837890625,21918.19921875,24197.533203125,24770.92578125,25240.615234375,23964.91015625,24375.9609375,24201.765625,26514.716796875,24081.18359375,24746.07421875,24856.087890625,26089.1953125,24775.5390625,26023.775390625,25977.275390625,26514.716796875,25793.453125,25888.626953125,,,,
2023-03-14,12:30,USD,CPI (MoM) ,0.004,0.004,0.005,USD-CPI (MoM) ,2023-03-13,2023-03-15,12:00,13:00,22156.40625,24550.837890625,21918.19921875,24197.533203125,24770.92578125,25240.615234375,23964.91015625,24375.9609375,24201.765625,26514.716796875,24081.18359375,24746.07421875,24856.087890625,26089.1953125,24775.5390625,26023.775390625,25977.275390625,26514.716796875,25793.453125,25888.626953125,,,,
2023-03-14,12:30,USD,CPI (YoY) ,0.06,0.06,0.064,USD-CPI (YoY) ,2023-03-13,2023-03-15,12:00,13:00,22156.40625,24550.837890625,21918.19921875,24197.533203125,24770.92578125,25240.615234375,23964.91015625,24375.9609375,24201.765625,26514.716796875,24081.18359375,24746.07421875,24856.087890625,26089.1953125,24775.5390625,26023.775390625,25977.275390625,26514.716796875,25793.453125,25888.626953125,,,,
2023-03-15,12:30,USD,Core Retail Sales (MoM) ,-0.001,-0.001,0.024,USD-Core Retail Sales (MoM) ,2023-03-14,2023-03-16,12:00,13:00,24201.765625,26514.716796875,24081.18359375,24746.07421875,24373.45703125,25190.326171875,24225.111328125,25052.7890625,24770.92578125,25240.615234375,23964.91015625,24375.9609375,24874.177734375,25169.73046875,24579.876953125,24918.341796875,24933.599609375,25240.615234375,24870.75,24873.111328125,,,,
2023-03-15,12:30,USD,PPI (MoM) ,-0.001,0.003,0.003,USD-PPI (MoM) ,2023-03-14,2023-03-16,12:00,13:00,24201.765625,26514.716796875,24081.18359375,24746.07421875,24373.45703125,25190.326171875,24225.111328125,25052.7890625,24770.92578125,25240.615234375,23964.91015625,24375.9609375,24874.177734375,25169.73046875,24579.876953125,24918.341796875,24933.599609375,25240.615234375,24870.75,24873.111328125,,,,
2023-03-15,12:30,USD,Retail Sales (MoM) ,-0.004,-0.003,0.032,USD-Retail Sales (MoM) ,2023-03-14,2023-03-16,12:00,13:00,24201.765625,26514.716796875,24081.18359375,24746.07421875,24373.45703125,25190.326171875,24225.111328125,25052.7890625,24770.92578125,25240.615234375,23964.91015625,24375.9609375,24874.177734375,25169.73046875,24579.876953125,24918.341796875,24933.599609375,25240.615234375,24870.75,24873.111328125,,,,
2023-03-15,14:30,USD,Crude Oil Inventories,1550000.0,1188000.0,-1694000.0,USD-Crude Oil Inventories,2023-03-14,2023-03-16,14:00,15:00,24201.765625,26514.716796875,24081.18359375,24746.07421875,24373.45703125,25190.326171875,24225.111328125,25052.7890625,24770.92578125,25240.615234375,23964.91015625,24375.9609375,24882.619140625,25004.248046875,24519.90625,24762.357421875,24784.099609375,24833.466796875,24472.86328125,24537.775390625,,,,
2023-03-16,12:30,USD,Initial Jobless Claims,192000.0,205000.0,212000.0,USD-Initial Jobless Claims,2023-03-15,2023-03-17,12:00,13:00,24770.92578125,25240.615234375,23964.91015625,24375.9609375,25055.123046875,27787.8125,24955.169921875,27423.9296875,24373.45703125,25190.326171875,24225.111328125,25052.7890625,24900.162109375,24966.009765625,24752.55078125,24777.62109375,24787.806640625,24895.69921875,24624.744140625,24887.98828125,,,,
2023-03-16,12:30,USD,Philadelphia Fed Manufacturing Index ,-23.2,-15.6,-24.3,USD-Philadelphia Fed Manufacturing Index ,2023-03-15,2023-03-17,12:00,13:00,24770.92578125,25240.615234375,23964.91015625,24375.9609375,25055.123046875,27787.8125,24955.169921875,27423.9296875,24373.45703125,25190.326171875,24225.111328125,25052.7890625,24900.162109375,24966.009765625,24752.55078125,24777.62109375,24787.806640625,24895.69921875,24624.744140625,24887.98828125,,,,
2023-03-16,13:15,EUR,Deposit Facility Rate ,0.03,0.03,0.025,EUR-Deposit Facility Rate ,2023-03-15,2023-03-17,13:00,14:00,24770.92578125,25240.615234375,23964.91015625,24375.9609375,25055.123046875,27787.8125,24955.169921875,27423.9296875,24373.45703125,25190.326171875,24225.111328125,25052.7890625,24787.806640625,24895.69921875,24624.744140625,24887.98828125,24886.96484375,25047.998046875,24759.0625,24928.181640625,,,,
2023-03-16,13:15,EUR,ECB Interest Rate Decision ,0.035,0.035,0.03,EUR-ECB Interest Rate Decision ,2023-03-15,2023-03-17,13:00,14:00,24770.92578125,25240.615234375,23964.91015625,24375.9609375,25055.123046875,27787.8125,24955.169921875,27423.9296875,24373.45703125,25190.326171875,24225.111328125,25052.7890625,24787.806640625,24895.69921875,24624.744140625,24887.98828125,24886.96484375,25047.998046875,24759.0625,24928.181640625,,,,
2023-03-16,13:45,EUR,ECB Press Conference,,,,EUR-ECB Press Conference,2023-03-15,2023-03-17,13:00,14:00,24770.92578125,25240.615234375,23964.91015625,24375.9609375,25055.123046875,27787.8125,24955.169921875,27423.9296875,24373.45703125,25190.326171875,24225.111328125,25052.7890625,24787.806640625,24895.69921875,24624.744140625,24887.98828125,24886.96484375,25047.998046875,24759.0625,24928.181640625,,,,
2023-03-17,10:00,EUR,CPI (YoY) ,0.085,0.085,0.086,EUR-CPI (YoY) ,2023-03-16,2023-03-18,09:00,11:00,24373.45703125,25190.326171875,24225.111328125,25052.7890625,27448.1171875,27725.953125,26636.26171875,26965.87890625,25055.123046875,27787.8125,24955.169921875,27423.9296875,26063.90625,26370.466796875,26063.90625,26347.109375,26769.388671875,27002.38671875,26663.505859375,27002.38671875,26327.54296875,26813.126953125,26324.640625,26774.73046875
2023-03-21,14:00,USD,Existing Home Sales,4580000.0,4190000.0,4000000.0,USD-Existing Home Sales,2023-03-20,2023-03-22,13:00,15:00,28041.6015625,28527.724609375,27242.880859375,27767.236328125,28158.720703125,28803.3359375,26759.99609375,27307.4375,27768.392578125,28439.5625,27439.646484375,28175.81640625,28234.724609375,28250.3203125,27966.81640625,28076.927734375,27936.533203125,28118.4140625,27914.359375,28092.66796875,28081.001953125,28151.146484375,27785.11328125,27922.189453125
2023-03-22,14:30,USD,Crude Oil Inventories,1117000.0,-1565000.0,1550000.0,USD-Crude Oil Inventories,2023-03-21,2023-03-23,14:00,15:00,27768.392578125,28439.5625,27439.646484375,28175.81640625,27301.95703125,28729.84375,27183.36328125,28333.97265625,28158.720703125,28803.3359375,26759.99609375,27307.4375,28346.884765625,28775.015625,28346.328125,28623.294921875,28602.439453125,28759.9140625,28523.54296875,28614.41015625,,,,
2023-03-22,18:00,USD,FOMC Economic Projections,,,,USD-FOMC Economic Projections,2023-03-21,2023-03-23,17:00,19:00,27768.392578125,28439.5625,27439.646484375,28175.81640625,27301.95703125,28729.84375,27183.36328125,28333.97265625,28158.720703125,28803.3359375,26759.99609375,27307.4375,28683.96484375,28683.96484375,28345.1171875,28530.583984375,28057.44921875,28057.44921875,26771.744140625,26846.64453125,28523.85546875,28803.3359375,27920.34765625,28060.611328125
2023-03-22,18:00,USD,Fed Interest Rate Decision,0.05,0.05,0.048,USD-Fed Interest Rate Decision,2023-03-21,2023-03-23,17:00,19:00,27768.392578125,28439.5625,27439.646484375,28175.81640625,27301.95703125,28729.84375,27183.36328125,28333.97265625,28158.720703125,28803.3359375,26759.99609375,27307.4375,28683.96484375,28683.96484375,28345.1171875,28530.583984375,28057.44921875,28057.44921875,26771.744140625,26846.64453125,28523.85546875,28803.3359375,27920.34765625,28060.611328125
2023-03-22,18:30,USD,FOMC Press Conference,,,,USD-FOMC Press Conference,2023-03-21,2023-03-23,18:00,19:00,27768.392578125,28439.5625,27439.646484375,28175.81640625,27301.95703125,28729.84375,27183.36328125,28333.97265625,28158.720703125,28803.3359375,26759.99609375,27307.4375,28523.85546875,28803.3359375,27920.34765625,28060.611328125,28057.44921875,28057.44921875,26771.744140625,26846.64453125,,,,
2023-03-23,12:30,USD,Initial Jobless Claims,191000.0,197000.0,192000.0,USD-Initial Jobless Claims,2023-03-22,2023-03-24,12:00,13:00,28158.720703125,28803.3359375,26759.99609375,27307.4375,28324.111328125,28388.4375,27039.265625,27493.28515625,27301.95703125,28729.84375,27183.36328125,28333.97265625,27644.02734375,27704.951171875,27562.580078125,27562.580078125,27533.671875,27548.873046875,27359.24609375,27415.880859375,,,,
2023-03-23,14:00,USD,New Home Sales ,640000.0,650000.0,633000.0,USD-New Home Sales ,2023-03-22,2023-03-24,13:00,15:00,28158.720703125,28803.3359375,26759.99609375,27307.4375,28324.111328125,28388.4375,27039.265625,27493.28515625,27301.95703125,28729.84375,27183.36328125,28333.97265625,27533.671875,27548.873046875,27359.24609375,27415.880859375,28061.2265625,28729.84375,28061.2265625,28661.158203125,27414.64453125,27765.267578125,27361.4921875,27765.267578125
2023-03-24,12:30,USD,Durable Goods Orders (MoM) ,-0.01,0.006,-0.05,USD-Durable Goods Orders (MoM) ,2023-03-23,2023-03-25,12:00,13:00,27301.95703125,28729.84375,27183.36328125,28333.97265625,27487.337890625,27791.826171875,27196.234375,27494.70703125,28324.111328125,28388.4375,27039.265625,27493.28515625,27647.93359375,28116.009765625,27613.341796875,28016.763671875,28015.271484375,28015.271484375,27711.9140625,27938.537109375,,,,
2023-03-24,13:45,USD,S&P Global US Manufacturing PMI ,49.3,47.0,47.3,USD-S&P Global US Manufacturing PMI ,2023-03-23,2023-03-25,13:00,14:00,27301.95703125,28729.84375,27183.36328125,28333.97265625,27487.337890625,27791.826171875,27196.234375,27494.70703125,28324.111328125,28388.4375,27039.265625,27493.28515625,28015.271484375,28015.271484375,27711.9140625,27938.537109375,27972.609375,28208.205078125,27870.26953125,28028.796875,,,,
2023-03-24,13:45,USD,S&P Global Services PMI ,53.8,50.5,50.6,USD-S&P Global Services PMI ,2023-03-23,2023-03-25,13:00,14:00,27301.95703125,28729.84375,27183.36328125,28333.97265625,27487.337890625,27791.826171875,27196.234375,27494.70703125,28324.111328125,28388.4375,27039.265625,27493.28515625,28015.271484375,28015.271484375,27711.9140625,27938.537109375,27972.609375,28208.205078125,27870.26953125,28028.796875,,,,
2023-03-28,14:00,USD,CB Consumer Confidence ,104.2,101.0,103.4,USD-CB Consumer Confidence ,2023-03-27,2023-03-29,13:00,15:00,27994.068359375,28037.92578125,26606.689453125,27139.888671875,27267.03125,28619.54296875,27259.662109375,28348.44140625,27132.888671875,27460.71875,26677.818359375,27268.130859375,26982.958984375,27002.41796875,26855.814453125,26899.67578125,26947.353515625,27067.291015625,26927.416015625,26985.0078125,26867.5234375,27009.2421875,26855.234375,26945.421875
